Date,AEX
11/1999,10000
12/1999,11150.891317994758
01/2000,10170.59099016511
02/2000,11032.513925286727
03/2000,11008.898233307093
04/2000,11003.91601980928
05/2000,10998.037007881861
06/2000,11277.24025229929
07/2000,11210.777524238469
08/2000,11619.51831959903
09/2000,11156.770329922178
10/2000,11479.81705312036
11/2000,10968.343015434897
12/2000,10760.485068306149
01/2001,10800.641709098518
02/2001,10080.811502934523
03/2001,9435.614854967765
04/2001,10050.918221947646
05/2001,9993.523122452843
06/2001,9804.099365266
07/2001,9381.906593461343
08/2001,9005.251253026694
09/2001,7810.317167711271
10/2001,7923.612702651534
11/2001,8487.300337794075
12/2001,8730.332712217383
01/2002,8629.393066751696
02/2002,8525.862670267146
03/2002,9151.23010851261
04/2002,8862.361369909422
05/2002,8474.64551550963
06/2002,7689.548312524288
07/2002,6361.090905467481
08/2002,6559.183714140518
09/2002,5231.82239405323
10/2002,6060.962364359238
11/2002,6399.553593670596
12/2002,5705.4316091553155
01/2003,5214.185358270973
02/2003,4706.298514303935
03/2003,4403.479577906873
04/2003,5058.740297139213
05/2003,5073.089072012914
06/2003,5271.6801020357325
07/2003,5751.666550415018
08/2003,6010.044142411591
09/2003,5598.513307492252
10/2003,6033.460545851311
11/2003,6069.432127305519
12/2003,6169.176041531731
01/2004,6455.3543848460995
02/2004,6515.240591089809
03/2004,6200.464342297996
04/2004,6306.386201261496
05/2004,6289.048098289108
06/2004,6437.21912771406
07/2004,6166.286357703
08/2004,6088.165250057295
09/2004,6104.506910330121
10/2004,6236.435923752204
11/2004,6362.2866367069555
12/2004,6568.550275516406
01/2005,6801.418934404178
02/2005,7081.3196887113
03/2005,6990.344470241238
04/2005,6665.205217373975
05/2005,7044.7502416373545
06/2005,7414.729415984933
07/2005,7646.402343633229
08/2005,7606.345347110814
09/2005,7868.509421365724
10/2005,7697.7191426607005
11/2005,8197.0365794115
12/2005,8549.17942943691
01/2006,8817.72073696902
02/2006,8988.610659943999
03/2006,9197.963271122093
04/2006,9271.700030889724
05/2006,8754.944846896578
06/2006,8768.596111880586
07/2006,9046.404336518628
08/2006,9438.504538796496
09/2006,9733.351933597058
10/2006,9796.227467939456
11/2006,9637.394501629184
12/2006,9993.822055262712
01/2007,10084.09976384308
02/2007,9902.448259712824
03/2007,10327.63035961617
04/2007,10828.641748956226
05/2007,11085.62432117341
06/2007,11246.051595802981
07/2007,10982.193568958819
08/2007,10830.534990085394
09/2007,11208.684994569385
10/2007,11370.905866058172
11/2007,10548.641350379148
12/2007,10718.833763464432
01/2008,9172.852915093117
02/2008,9297.208963998524
03/2008,9237.023824944947
04/2008,10032.583676275695
05/2008,10310.690833723605
06/2008,9050.390107316878
07/2008,8505.53523919607
08/2008,8854.68876112279
09/2008,7114.003009256953
10/2008,5751.467261875106
11/2008,5451.039787956994
12/2008,5315.623225086441
01/2009,5376.206941219845
02/2009,4771.964088205107
03/2009,4733.800332811861
04/2009,5311.737098558148
05/2009,5770.49931743675
06/2009,5665.075679823031
07/2009,6305.6886913718035
08/2009,6629.831501539504
09/2009,6967.326643881343
10/2009,6768.038103968831
11/2009,6873.860318662375
12/2009,7535.1993383620475
01/2010,7368.195541915362
02/2010,7164.522654124774
03/2010,7781.021752344131
04/2010,7879.569935330868
05/2010,7355.241786821049
06/2010,7266.0601652102
07/2010,7594.487678986019
08/2010,7303.82534352362
09/2010,7717.3490638420835
10/2010,7784.708590332512
11/2010,7584.323963450482
12/2010,8213.57752822424
01/2011,8356.567055611467
02/2011,8578.674133343962
03/2011,8497.364409059657
04/2011,8445.748677222316
05/2011,8249.050888328666
06/2011,8017.975826300109
07/2011,7781.021752344131
08/2011,6957.461861155674
09/2011,6654.543280488655
10/2011,7305.320007572964
11/2011,7145.5902428330855
12/2011,7450.700997439142
01/2012,7593.690524826369
02/2012,7757.904281714279
03/2012,7740.167601662066
04/2012,7449.804199009535
05/2012,7083.412218380382
06/2012,7503.9110375957835
07/2012,7976.424165728349
08/2012,8085.036419980669
09/2012,7935.171437966459
10/2012,8123.399463913827
11/2012,8292.296501489682
12/2012,8444.054724633059
01/2013,8730.731289297208
02/2013,8411.869625437188
03/2013,8598.702631605169
04/2013,8733.222396046114
05/2013,9115.55745986827
06/2013,8644.339707245135
07/2013,9277.180465737318
08/2013,9143.059278376197
09/2013,9445.08106061361
10/2013,9875.843239634505
11/2013,10019.92885399125
12/2013,10152.25644449316
01/2014,9774.80394989886
02/2014,10095.060633538267
03/2014,10213.4380262463
04/2014,10186.53407335811
05/2014,10457.167910559303
06/2014,10609.523999322419
07/2014,10382.633996632023
08/2014,10659.146845760633
09/2014,10865.809061649908
10/2014,10616.200165409487
11/2014,11027.133134709087
12/2014,10991.16155325488
01/2015,11664.956106699085
02/2015,12572.017896110883
03/2015,12724.174696334087
04/2015,12746.594657074244
05/2015,12979.463315962015
06/2015,12429.925167153262
07/2015,13039.150233665812
08/2015,11794.19472483235
09/2015,11165.240092868458
10/2015,12266.508564425003
11/2015,12494.594298354872
12/2015,11757.525633488445
01/2016,11477.12665783154
02/2016,11413.852546409318
03/2016,11766.792550594379
04/2016,11855.177018045577
05/2016,12161.284215351196
06/2016,11843.418994190739
07/2016,12235.818129278476
08/2016,12455.53374453202
09/2016,12399.334376276689
10/2016,12420.857538587243
11/2016,12582.978765806072
12/2016,13297.428181392428
01/2017,13119.563159520512
02/2017,13681.556842073796
03/2017,14277.429576412207
04/2017,14474.027721035902
05/2017,14679.095628605875
06/2017,14215.949061849198
07/2017,14742.569028568012
08/2017,14576.462030550932
09/2017,15170.242235220263
10/2017,15634.78382175633
11/2017,15309.345636079197
12/2017,15435.993503193597
01/2018,15887.979911715176
02/2018,15224.249429536552
03/2018,15069.003656944707
04/2018,15929.63121655689
05/2018,15946.570742449454
06/2018,15926.542244188247
07/2018,16581.404386340764
08/2018,16224.877188437278
09/2018,15971.382165668563
10/2018,15075.380890221906
11/2018,15142.441483902467
12/2018,14224.11989198561
01/2019,15179.11057524637
02/2019,15820.720029494703
03/2019,16074.912562153113
04/2019,16862.102294807537
05/2019,16059.866277389718
06/2019,16691.810237452297
07/2019,17021.931703817372
08/2019,16729.17683868589
09/2019,17387.227597477005
10/2019,17297.049533166595
11/2019,17959.783572645654
12/2019,18178.702033739548
01/2020,17725.42024970854
02/2020,16257.261576173061
03/2020,14587.223611706208
04/2020,15547.894018354475
05/2020,16183.923393485256
06/2020,17028.60786990444
07/2020,16603.425770001097
08/2020,16795.240989666887
09/2020,16752.59324212561
10/2020,16347.73857329334
11/2020,18582.859192682125
12/2020,19152.724772561953
01/2021,19536.05627908367
02/2021,20014.54806341361
03/2021,21512.60001793597
04/2021,21805.65381587732
05/2021,21970.963659734745
06/2021,22604.103351036796
07/2021,23375.848221848002
08/2021,24505.017088992296
09/2021,24022.34024532419
10/2021,25290.11429197764
11/2021,24305.728549079784
12/2021,24947.73658040794
01/2022,23611.905497374373
02/2022,22875.335053857725
03/2022,22709.02876730074
04/2022,22394.651095588746
05/2022,22603.80441822693
06/2022,20906.264635252148
07/2022,23137.000906762856
08/2022,21700.42946680351
09/2022,20437.338700838012
10/2022,21400.799147045043
11/2022,23179.947587114002
12/2022,22056.657731897125
01/2023,23854.937871797683
02/2023,24174.297757007484
03/2023,24286.89578205805
04/2023,24488.874717259383
05/2023,24287.692936217703
06/2023,25120.918321591915
07/2023,25717.089988740197
08/2023,24309.216098528253
09/2023,23828.432495989317
10/2023,23501.898223342665
11/2023,25109.658519086857
12/2023,25824.307223213127
01/2024,26854.628974560816
02/2024,27930.388513008562
03/2024,29034.845601203702
04/2024,29073.50757794673
05/2024,30087.78660183146
06/2024,30768.954831252428
07/2024,30681.168229420964
08/2024,30792.4708789621
09/2024,30513.566567354545