Date,BNP Paribas Easy ESG Low Vol US
06/2016,10000
07/2016,10032.955381279433
08/2016,10055.307726842875
09/2016,9849.93361162322
10/2016,9772.273539216903
11/2016,10323.631396448462
12/2016,10606.76110691872
01/2017,10395.84666673035
02/2017,10992.195783621653
03/2017,10934.022371450132
04/2017,10805.257577349623
05/2017,10688.43313878514
06/2017,10440.837926390097
07/2017,10221.039861682922
08/2017,10130.675250986274
09/2017,10297.267091424914
10/2017,10665.03004193453
11/2017,10800.672480823789
12/2017,10715.084012341551
01/2018,10564.731055431906
02/2018,10224.383161233009
03/2018,10154.269393525461
04/2018,10437.017012618568
05/2018,10848.529425812183
06/2018,11073.867815488074
07/2018,11461.40399476535
08/2018,11737.751583291145
09/2018,11903.961332352632
10/2018,11695.72153180433
11/2018,12118.219072091091
12/2018,11149.139816787185
01/2019,11779.495066245092
02/2019,12335.533542846772
03/2019,12855.177815774643
04/2019,13228.481091252976
05/2019,13016.13380840028
06/2019,13447.419450361553
07/2019,13839.158634787507
08/2019,14152.569086897132
09/2019,14441.716736557548
10/2019,14078.44335972948
11/2019,14469.227315712553
12/2019,14531.89030156562
01/2020,14933.65938464184
02/2020,13772.101598097182
03/2020,11627.040606761107
04/2020,13025.972661361964
05/2020,13452.673206797406
06/2020,13115.095475082866
07/2020,13087.775941616437
08/2020,13547.049776954158
09/2020,13500.912243162953
10/2020,13157.507617946832
11/2020,13954.072616466228
12/2020,14071.565714940729
01/2021,13641.999484176642
02/2021,13696.256459732345
03/2021,14838.136540353627
04/2021,15200.836780115966
05/2021,15123.081184865361
06/2021,15749.711043396028
07/2021,16133.04421752462
08/2021,16394.68128803003
09/2021,15968.55387966032
10/2021,16874.97014911116
11/2021,17013.000659107627
12/2021,17921.613953977096
01/2022,17045.382903321333
02/2022,16474.729431543554
03/2022,17201.27618519969
04/2022,16890.731418418716
05/2022,16422.765004250767
06/2022,15896.33860937843
07/2022,17555.474891820377
08/2022,17102.02794998424
09/2022,15993.676387708121
10/2022,17165.837209968766
11/2022,17588.143704566948
12/2022,16218.728208851146
01/2023,16554.013392302768
02/2023,16438.14418218117
03/2023,16730.921699924536
04/2023,16626.03761689608
05/2023,16754.611365308014
06/2023,17312.36925310688
07/2023,17286.38703946049
08/2023,17287.055699370507
09/2023,16896.080697698853
10/2023,16615.3390583358
11/2023,17332.233228576613
12/2023,17876.60741066226
01/2024,18364.896309952524
02/2024,18791.955066054048
03/2024,19150.708301890398
04/2024,18604.42461814743
05/2024,18806.20134305119
06/2024,19397.071269594122
07/2024,19639.140485447093
08/2024,20017.465396849657
09/2024,20150.713078032615