Date,Bloomberg Euro Treasury 50bn 1-3 Year Bond
10/2012,10000
11/2012,10045.16126283553
12/2012,10056.329850073129
01/2013,10044.363941348793
02/2013,10075.264713776793
03/2013,10093.548330159318
04/2013,10163.883040850265
05/2013,10144.649942392021
06/2013,10108.752216219016
07/2013,10149.251278605438
08/2013,10148.685241214122
09/2013,10175.830690303943
10/2013,10214.710764022684
11/2013,10233.116108876427
12/2013,10223.408263293806
01/2014,10262.087485035057
02/2014,10275.185468542028
03/2014,10292.909133956706
04/2014,10305.696709862068
05/2014,10320.620620437843
06/2014,10349.87805850395
07/2014,10365.97056240384
08/2014,10386.493982657339
09/2014,10400.158003555707
10/2014,10377.419125125363
11/2014,10393.522622842102
12/2014,10407.104886004485
01/2015,10423.894072413552
02/2015,10443.677198551955
03/2015,10451.861850860803
04/2015,10445.21676512006
05/2015,10454.49676123237
06/2015,10435.249136508986
07/2015,10456.63876689236
08/2015,10446.695479254717
09/2015,10454.62455134277
10/2015,10469.557738529327
11/2015,10483.66941786339
12/2015,10476.622706061366
01/2016,10488.805363252714
02/2016,10490.533572364826
03/2016,10488.002111130227
04/2016,10486.584249429181
05/2016,10492.243525746764
06/2016,10505.86838561267
07/2016,10503.069173670601
08/2016,10501.304453098384
09/2016,10506.53776238142
10/2016,10480.371215966408
11/2016,10480.66939289072
12/2016,10506.21524448376
01/2017,10467.45224432944
02/2017,10484.813443613628
03/2017,10467.45224432944
04/2017,10474.742365865506
05/2017,10479.945248931775
06/2017,10463.490750907124
07/2017,10473.933028499683
08/2017,10477.09735504285
09/2017,10470.494866005629
10/2017,10476.939138715688
11/2017,10473.385356597992
12/2017,10459.401467374326
01/2018,10447.07276434257
02/2018,10449.166088055703
03/2018,10469.14394198137
04/2018,10459.778752462182
05/2018,10380.518457798176
06/2018,10406.593725562892
07/2018,10396.2183856472
08/2018,10354.759622687865
09/2018,10364.94632005963
10/2018,10375.558984466028
11/2018,10401.987196345173
12/2018,10428.38498200755
01/2019,10429.662883111523
02/2019,10418.417353396479
03/2019,10438.084859911158
04/2019,10434.902277637897
05/2019,10439.496636368864
06/2019,10462.736180731414
07/2019,10474.085159583427
08/2019,10491.348994973985
09/2019,10474.249461154008
10/2019,10452.82940455379
11/2019,10436.271457392166
12/2019,10436.299778708375
01/2020,10448.038147435702
02/2020,10444.10349870028
03/2020,10400.494475215946
04/2020,10393.55263066122
05/2020,10398.920615721745
06/2020,10422.06946578187
07/2020,10427.58734222271
08/2020,10420.917175795037
09/2020,10431.30652209888
10/2020,10446.576706476859
11/2020,10443.522669601214
12/2020,10438.285839498645
01/2021,10426.03221915111
02/2021,10407.061591319562
03/2021,10411.57706915405
04/2021,10402.855264457166
05/2021,10400.204060666372
06/2021,10398.836301820207
07/2021,10410.902557942227
08/2021,10402.630427386532
09/2021,10390.30186134884
10/2021,10360.145589255131
11/2021,10394.65807959163
12/2021,10364.447378147086
01/2022,10344.784534961807
02/2022,10324.681011157993
03/2022,10256.7047141996
04/2022,10191.01650895615
05/2022,10161.371556513497
06/2022,10124.800311372994
07/2022,10194.014523657364
08/2022,10047.86903574856
09/2022,9941.083147132082
10/2022,9940.087868456212
11/2022,9951.283348328236
12/2022,9866.009681317637
01/2023,9906.6241523968
02/2023,9843.486067713959
03/2023,9940.66382603337
04/2023,9951.883194841981
05/2023,9976.77434258505
06/2023,9915.784013824943
07/2023,9961.814247352546
08/2023,9998.90495976131
09/2023,9971.772561355448
10/2023,10026.004382066483
11/2023,10099.416208397339
12/2023,10209.363680669094
01/2024,10214.27852490595
02/2024,10158.046122858026
03/2024,10194.885486181007
04/2024,10177.33376921568
05/2024,10198.768703085538
06/2024,10241.620021768602
07/2024,10330.73268773052
08/2024,10381.525813121845
09/2024,10463.496061771322