Date,Dow Jones Global Select Real Estate Securities
03/2006,10000
04/2006,9592.9440453172
05/2006,9142.977383703717
06/2006,9346.287199404178
07/2006,9866.985410341475
08/2006,10100.860700021272
09/2006,10543.865010730246
10/2006,11100.59197444876
11/2006,11315.233192392367
12/2006,11601.448900660516
01/2007,12393.001230026151
02/2007,12210.57052310163
03/2007,12177.10595889803
04/2007,12068.908403171477
05/2007,12344.447534659235
06/2007,11380.172885135904
07/2007,10511.624226042248
08/2007,10740.559640325728
09/2007,10878.649045086886
10/2007,10857.430237368957
11/2007,9727.58137127829
12/2007,9269.979839789856
01/2008,8869.367377256709
02/2008,8575.716939388105
03/2008,8351.688670069081
04/2008,8944.099649085787
05/2008,8870.03416834221
06/2008,7746.956236345357
07/2008,7870.263626505685
08/2008,8222.497686377576
09/2008,7809.613432441931
10/2008,6188.95786100622
11/2008,5182.587509271294
12/2008,5226.809956378993
01/2009,4913.038246825628
02/2009,4121.906595448872
03/2009,4134.649455028801
04/2009,5041.707295403073
05/2009,5192.932564202764
06/2009,5162.033303645417
07/2009,5683.166546516599
08/2009,6259.407119742306
09/2009,6484.7267658469245
10/2009,6249.8920590310445
11/2009,6332.139752262493
12/2009,6863.139128601738
01/2010,6734.777841409131
02/2010,7146.958010665493
03/2010,7712.711624339457
04/2010,8131.281392542969
05/2010,8091.611576186434
06/2010,7901.783599112467
07/2010,8206.824956392727
08/2010,8425.05437685532
09/2010,8390.79516274191
10/2010,8655.529341699257
11/2010,8862.6441326816
12/2010,9244.658653947885
01/2011,9147.305954503114
02/2011,9373.993488331393
03/2011,9007.609615647476
04/2011,9126.059224202485
05/2011,9478.037700842244
06/2011,9223.84370114115
07/2011,9396.448106376942
08/2011,8760.202703541863
09/2011,8285.901628126698
10/2011,8936.550183523175
11/2011,8878.090734202395
12/2011,9318.889819977287
01/2012,9833.317822056828
02/2012,9850.758505253167
03/2012,10217.815500323562
04/2012,10577.084873246222
05/2012,10608.624184337776
06/2012,11106.4912523177
07/2012,11747.00922011153
08/2012,11468.723400556346
09/2012,11231.217449269008
10/2012,11279.497054879626
11/2012,11348.47153369837
12/2012,11559.055435780234
01/2013,11563.331819305784
02/2013,12065.734549314857
03/2013,12686.53398821964
04/2013,13303.506979491824
05/2013,12392.74895420922
06/2013,12005.398987416362
07/2013,11946.447694948576
08/2013,11362.125752959142
09/2013,11770.230947786193
10/2013,12051.591538769027
11/2013,11605.356685895988
12/2013,11443.138936084555
01/2014,11747.690884710897
02/2014,12051.502632201224
03/2014,12130.42272213897
04/2014,12502.234248567638
05/2014,13095.130087741438
06/2014,13237.552115286036
07/2014,13526.018211805404
08/2014,14013.62856663234
09/2014,13782.410489216985
10/2014,14866.69553946163
11/2014,15117.770790299366
12/2014,15575.841946355511
01/2015,17606.640027640326
02/2015,17555.024933475946
03/2015,18363.299371994963
04/2015,17234.804626798352
05/2015,17436.416190731015
06/2015,16463.50419214828
07/2015,17457.065204704588
08/2015,16033.86105042793
09/2015,16344.45534173759
10/2015,17635.467487499896
11/2015,18009.03876982461
12/2015,17645.08709878742
01/2016,16879.799931997415
02/2016,16969.140725813424
03/2016,17800.86789121793
04/2016,17665.9900182389
05/2016,18129.50365366579
06/2016,18915.1388827622
07/2016,19719.322546090636
08/2016,19114.15236257632
09/2016,18800.025248970112
10/2016,18057.02033919232
11/2016,18202.81734646478
12/2016,19077.835150103794
01/2017,18707.63848662878
02/2017,19520.3626812727
03/2017,19030.386814467245
04/2017,18740.951832259776
05/2017,18399.644360228565
06/2017,18228.565311970124
07/2017,18065.402478176155
08/2017,17795.13153295955
09/2017,17795.455507205043
10/2017,17926.309044232083
11/2017,18160.802738217015
12/2017,18202.230818474967
01/2018,17373.049484181734
02/2018,16546.909860641437
03/2018,16854.35339943615
04/2018,17523.508634887523
05/2018,18379.04954642402
06/2018,18822.036418305892
07/2018,18846.68154341353
08/2018,19246.185083126675
09/2018,18929.79882360084
10/2018,18713.2448675676
11/2018,19295.51211207753
12/2018,18021.553821636568
01/2019,19742.794198155585
02/2019,19993.862199634295
03/2019,20912.310143636554
04/2019,20783.047307881694
05/2019,20826.710838839717
06/2019,20776.22734108981
07/2019,21279.224352607267
08/2019,21953.59823289951
09/2019,22825.22704009629
10/2019,22773.522451547506
11/2019,22903.014838907842
12/2019,22450.273624337668
01/2020,22914.36989493183
02/2020,21109.923152475858
03/2020,16268.86623415979
04/2020,17541.790311862922
05/2020,17192.35876568006
06/2020,17374.23017527667
07/2020,16920.61200725845
08/2020,17142.26762545864
09/2020,16965.36279100247
10/2020,16441.465976820535
11/2020,18163.71599374563
12/2020,18491.474571711977
01/2021,18577.19497677972
02/2021,19294.976634827734
03/2021,20623.31510258443
04/2021,21382.691180418857
05/2021,21564.14666498759
06/2021,22412.219699539604
07/2021,23388.985981388032
08/2021,23827.639430091152
09/2021,23019.9825330932
10/2021,24240.239829395527
11/2021,24447.680043404773
12/2021,26293.237807881862
01/2022,25089.9428809737
02/2022,24347.650364313617
03/2022,25897.22978353612
04/2022,25850.67636105427
05/2022,24164.28974793804
06/2022,22748.92826485387
07/2022,25085.21044066315
08/2022,23956.051448303104
09/2022,21542.499390869474
10/2022,21958.12213495404
11/2022,22347.313318593613
12/2022,21055.597637966104
01/2023,22677.674951836074
02/2023,22086.640067791603
03/2023,20958.04502115986
04/2023,21102.777810617186
05/2023,20837.952618263116
06/2023,21197.618612525974
07/2023,21672.041975890323
08/2023,21273.24966899683
09/2023,20445.721465599665
10/2023,19470.702440263263
11/2023,20964.49751631084
12/2023,22744.0004484608
01/2024,22251.62265607259
02/2024,22247.047301342187
03/2024,22938.437374025038
04/2024,21670.32649174671
05/2024,22163.094375988312
06/2024,22690.046912231748
07/2024,23770.210505019277
08/2024,24696.757089188643
09/2024,25144.85978962689