Date,EURO STOXX
12/1986,10000
01/1987,9741.476631293748
02/1987,9547.301874012192
03/1987,9836.30616391962
04/1987,9934.522465567848
05/1987,9679.385865883947
06/1987,9965.003386769022
07/1987,10514.788891397608
08/1987,10512.531045382706
09/1987,10361.255362384285
10/1987,8115.827500564462
11/1987,7414.766312937459
12/1987,7258.9749379092345
01/1988,7079.476179724543
02/1988,7857.304131858207
03/1988,7844.885978776248
04/1988,7973.583201625649
05/1988,8081.959810340935
06/1988,8613.682546850305
07/1988,8824.791149243621
08/1988,8644.163468051478
09/1988,9147.663129374578
10/1988,9514.563106796117
11/1988,9359.900654775345
12/1988,9675.999096861593
01/1989,10022.578460149018
02/1989,9717.769248137278
03/1989,10101.60307067058
04/1989,10431.248588846242
05/1989,10715.737186723865
06/1989,11046.511627906977
07/1989,11564.687288326937
08/1989,12152.856175208852
09/1989,12262.361706931588
10/1989,11520.659291036352
11/1989,12023.030029351998
12/1989,12777.150598329194
01/1990,12427.184466019418
02/1990,12131.406638067285
03/1990,12813.276134567623
04/1990,12674.418604651162
05/1990,13074.057349288778
06/1990,13095.506886430345
07/1990,13137.277037706028
08/1990,11303.90607360578
09/1990,9835.17724091217
10/1990,10355.610747347031
11/1990,10149.017836983518
12/1990,9986.452923910589
01/1991,10041.770151275683
02/1991,11193.271618875593
03/1991,11504.85436893204
04/1991,11634.680514788892
05/1991,12112.21494694062
06/1991,11659.516820952811
07/1991,11670.80605102732
08/1991,11837.886656130053
09/1991,11720.478663355158
10/1991,11529.690675095959
11/1991,11253.10453827049
12/1991,11289.230074508918
01/1992,11931.587265748476
02/1992,12361.706931587267
03/1992,12161.887559268458
04/1992,12411.379543915105
05/1992,12668.773989613908
06/1992,12096.410024836307
07/1992,11352.449762926168
08/1992,10902.00948295326
09/1992,11029.577782795213
10/1992,11250.846692255589
11/1992,11544.366674192821
12/1992,11726.123278392413
01/1993,11981.259878076315
02/1993,12904.718898171144
03/1993,13124.85888462407
04/1993,12947.617972454278
05/1993,13101.1515014676
06/1993,13654.323775118537
07/1993,14644.389252652969
08/1993,15596.071347934072
09/1993,15170.467374125084
10/1993,15887.3334838564
11/1993,15467.374125084669
12/1993,16787.085120794763
01/1994,17325.581395348836
02/1994,16719.34974034771
03/1994,16449.537141566947
04/1994,17152.85617520885
05/1994,16397.606683224203
06/1994,15661.548882366224
07/1994,16718.220817340258
08/1994,16929.329419733574
09/1994,15857.981485662678
10/1994,15999.09686159404
11/1994,16014.901783698355
12/1994,15902.009482953266
01/1995,15500.112892300745
02/1995,15601.715962971326
03/1995,15287.875366899974
04/1995,15969.744863400316
05/1995,16595.16820952811
06/1995,16517.272522014
07/1995,17332.354933393544
08/1995,17263.490629939035
09/1995,17056.897719575525
10/1995,16860.46511627907
11/1995,17258.974937909235
12/1995,17841.499209753896
01/1996,19039.28652065929
02/1996,18965.90652517498
03/1996,19073.154210882818
04/1996,19805.825242718445
05/1996,20056.446150372543
06/1996,20173.854143147437
07/1996,19350.86927071574
08/1996,19547.30187401219
09/1996,20559.94581169564
10/1996,20530.59381350192
11/1996,21835.628810115148
12/1996,22288.32693610296
01/1997,24117.182208173403
02/1997,24908.55723639648
03/1997,25541.88304357643
04/1997,25939.26394219914
05/1997,26641.454052833597
06/1997,28781.892074960488
07/1997,31889.817114472793
08/1997,29072.025287875367
09/1997,31355.83653194852
10/1997,28516.59516820953
11/1997,29619.55294648905
12/1997,31253.104538270487
01/1998,33185.82072702642
02/1998,35695.41657258975
03/1998,39431.02280424475
04/1998,40082.41137954392
05/1998,42204.786633551594
06/1998,43054.86565816211
07/1998,44024.610521562434
08/1998,37525.40076766765
09/1998,34136.373899300066
10/1998,36528.561752088506
11/1998,39792.27816662904
12/1998,41394.21991420185
01/1999,42882.14043802213
02/1999,42184.46601941748
03/1999,42874.226687739894
04/1999,44990.95732671032
05/1999,43785.278843982844
06/1999,45515.91781440506
07/1999,43847.36960939264
08/1999,45442.52652969067
09/1999,44779.860013547084
10/1999,46921.42695868142
11/1999,51063.44547301874
12/1999,58539.17362835855
01/2000,56170.69315872658
02/2000,62518.62722962294
03/2000,62082.851659516826
04/2000,61816.4371189885
05/2000,60368.028900428995
06/2000,60189.65906525175
07/2000,60523.82027545721
08/2000,61723.86543237751
09/2000,58410.476405509144
10/2000,59609.392639421996
11/2000,56121.02054639874
12/2000,55666.06457439603
01/2001,56429.21652743283
02/2001,51414.540528335965
03/2001,49481.82433958004
04/2001,53321.29148792053
05/2001,52535.5610747347
06/2001,50432.377511853694
07/2001,48792.05238202755
08/2001,45311.58275005645
09/2001,39222.172047866334
10/2001,41500.33867690223
11/2001,43828.177918265974
12/2001,45303.68028900429
01/2002,44331.67757958907
02/2002,43902.68683675773
03/2002,46123.27839241364
04/2002,43964.77760216753
05/2002,42476.85707834726
06/2002,38961.39083314518
07/2002,33808.98622713931
08/2002,34069.767441860466
09/2002,28030.029351998193
10/2002,31573.718672386545
11/2002,33550.46285843306
12/2002,30338.676902235267
01/2003,28761.571460826373
02/2003,27454.27861819824
03/2003,26365.99683901558
04/2003,29942.424926620006
05/2003,30477.534432151733
06/2003,31639.196206818695
07/2003,33081.95981034094
08/2003,33889.139760668324
09/2003,32093.01196658388
10/2003,34564.23571912396
11/2003,35259.652291713704
12/2003,36454.052833596754
01/2004,37646.195529464894
02/2004,38364.19056220366
03/2004,37249.943553849625
04/2004,37660.87152856175
05/2004,37458.79431022804
06/2004,38471.42695868142
07/2004,37376.38293068413
08/2004,36893.203883495145
09/2004,37738.76721607587
10/2004,38727.70377060284
11/2004,39831.79047188982
12/2004,40946.037480243845
01/2005,41775.795890720256
02/2005,42955.52043350643
03/2005,42799.72905847821
04/2005,41371.64145405284
05/2005,43781.89207496049
06/2005,45436.8932038835
07/2005,47452.020772183336
08/2005,47004.967261232785
09/2005,49226.68773989614
10/2005,47649.58229848724
11/2005,49554.075412056896
12/2005,51521.7882140438
01/2006,53698.35177240912
02/2006,55322.871980130956
03/2006,56956.4235719124
04/2006,57051.25310453827
05/2006,54298.938812372995
06/2006,54643.26032964552
07/2006,55248.3630616392
08/2006,57201.39986452924
09/2006,58805.59945811696
10/2006,60653.646421314064
11/2006,60861.36825468503
12/2006,63379.99548430797
01/2007,64733.57417024159
02/2007,63708.51207947618
03/2007,65642.35719123956
04/2007,68727.70377060285
05/2007,71500.33867690223
06/2007,70930.23255813954
07/2007,68281.77918265974
08/2007,67737.63829306842
09/2007,68658.82817791827
10/2007,70694.2876495823
11/2007,68372.09302325582
12/2007,67996.1503725446
01/2008,59152.178821404385
02/2008,58549.3339354256
03/2008,56991.420185143375
04/2008,60529.46489049447
05/2008,61118.762700383835
06/2008,53985.09821630165
07/2008,53072.92842628133
08/2008,53743.50869270716
09/2008,47587.491533077446
10/2008,40040.641228268236
11/2008,37586.36261006999
12/2008,37665.387220591554
01/2009,35090.31384059607
02/2009,31242.944231203433
03/2009,32526.529690675095
04/2009,37683.449988710774
05/2009,39444.56988033416
06/2009,38762.70038383382
07/2009,42453.14969519079
08/2009,44924.36215850079
09/2009,46915.78234364416
10/2009,44759.53939941296
11/2009,45504.62858433055
12/2009,48069.541657258975
01/2010,45845.56333258072
02/2010,44985.324000903136
03/2010,48560.62316550011
04/2010,47388.80108376609
05/2010,44561.977873109056
06/2010,44039.28652065929
07/2010,46819.82388801084
08/2010,44988.71076992549
09/2010,47389.93000677354
10/2010,49195.077895687515
11/2010,46774.6669677128
12/2010,49361.0295777828
01/2011,51585.00790246105
02/2011,52577.331226010385
03/2011,51253.10453827049
04/2011,53102.28042447505
05/2011,51880.78573041319
06/2011,51408.895913298715
07/2011,48396.929329419734
08/2011,42178.82140438022
09/2011,39656.796116504855
10/2011,43015.34206367126
11/2011,41981.259878076315
12/2011,41850.304809212015
01/2012,44167.983743508696
02/2012,46090.53962519756
03/2012,45969.744863400316
04/2012,43648.67916008129
05/2012,40572.3639647776
06/2012,43094.37796342289
07/2012,44291.03635132084
08/2012,46097.31316324227
09/2012,46649.35651388576
10/2012,47433.95800406412
11/2012,48754.79792278167
12/2012,49942.424926620006
01/2013,51513.88575299165
02/2013,51101.82885527207
03/2013,51090.53962519756
04/2013,52606.68322420411
05/2013,54421.99142018514
06/2013,51439.37683449989
07/2013,54725.67170918943
08/2013,54199.59358771732
09/2013,57444.118311131184
10/2013,60536.238428539174
11/2013,61299.39038157598
12/2013,61800.6209076541
01/2014,60515.91781440506
02/2014,63505.30593813502
03/2014,63742.379769699706
04/2014,64304.58342741025
05/2014,65935.86588394671
06/2014,65321.74305712351
07/2014,63103.409347482506
08/2014,64120.568977195755
09/2014,64639.873560623164
10/2014,62946.48904944683
11/2014,65877.17317678935
12/2014,64361.0295777828
01/2015,68996.38744637616
02/2015,74057.34928877851
03/2015,76266.65161435991
04/2015,75275.45721381802
05/2015,75660.41995935877
06/2015,72685.70783472568
07/2015,76109.72002709415
08/2015,69803.56739670355
09/2015,66673.06389704223
10/2015,73024.38473696094
11/2015,75172.72522013998
12/2015,71009.2571686611
01/2016,66510.4989839693
02/2016,64512.30526078121
03/2016,66311.80853465793
04/2016,67099.79679385867
05/2016,68547.07608941071
06/2016,64339.58004064123
07/2016,67672.16075863627
08/2016,68551.59178144051
09/2016,68507.56378414993
10/2016,69329.41973357418
11/2016,69077.66990291262
12/2016,73955.74621810793
01/2017,73221.94626326485
02/2017,75133.2129148792
03/2017,79182.65974260555
04/2017,81034.09347482501
05/2017,82327.83924136373
06/2017,80181.75660419959
07/2017,80526.07812147212
08/2017,80204.33506434862
09/2017,83819.14653420637
10/2017,85767.66764506661
11/2017,84067.50959584556
12/2017,83237.75118536917
01/2018,85953.939941296
02/2018,82695.86814179273
03/2018,80946.03748024385
04/2018,84954.84307970197
05/2018,83678.031158275
06/2018,82991.64596974486
07/2018,85906.52517498306
08/2018,83657.7105441409
09/2018,83462.39557462181
10/2018,77937.45766538722
11/2018,77089.6364867916
12/2018,72646.1955294649
01/2019,77188.98171144728
02/2019,80317.2273650937
03/2019,81431.47437344774
04/2019,85521.56242944232
05/2019,80649.13072928427
06/2019,84870.17385414316
07/2019,84975.16369383608
08/2019,83894.78437570558
09/2019,86967.71280198691
10/2019,88051.47888913976
11/2019,90508.01535335291
12/2019,91616.61774666968
01/2020,90037.25445924589
02/2020,82961.16504854368
03/2020,68944.45698803342
04/2020,73445.47301874013
05/2020,77245.42786181983
06/2020,81045.38270489953
07/2020,80282.23075186272
08/2020,83090.99119440054
09/2020,81584.99661323098
10/2020,76909.00880559946
11/2020,89959.35877173177
12/2020,91843.5312711673
01/2021,90587.03996387447
02/2021,93853.01422442989
03/2021,100055.3172273651
04/2021,102255.58816888688
05/2021,104804.696319711
06/2021,105833.14517949877
07/2021,107378.64077669903
08/2021,110203.20614134116
09/2021,106477.76021675322
10/2021,110934.74825016934
11/2021,107376.38293068414
12/2021,112667.64506660646
01/2022,108454.50440279974
02/2022,102835.85459471664
03/2022,102594.26507112215
04/2022,100846.69225558818
05/2022,101263.26484533754
06/2022,91765.6355836532
07/2022,98466.9225558817
08/2022,93523.35741702416
09/2022,87695.85685256266
10/2022,94694.06186498082
11/2022,102358.32016256491
12/2022,98803.34161210206
01/2023,107997.29058478212
02/2023,110071.1221494694
03/2023,110493.33935425604
04/2023,112080.60510273199
05/2023,109268.45789117183
06/2023,113430.79701964326
07/2023,115755.23820275457
08/2023,112172.04786633552
09/2023,108676.90223526755
10/2023,105048.54368932039
11/2023,113456.76224881463
12/2023,117126.89094603749
01/2024,119407.31542108828
02/2024,123311.13118085347
03/2024,128889.13976066833
04/2024,126502.59652291714
05/2024,129961.61661774667
06/2024,126430.34545044028
07/2024,127185.58365319486
08/2024,129123.95574621811
09/2024,130431.23729961617