Date,FTSE All-Share
03/2005,10000
04/2005,9929.321517444954
05/2005,10299.078340564452
06/2005,10684.219723146241
07/2005,10815.795686829135
08/2005,11034.877982072878
09/2005,11434.823213146814
10/2005,11171.883743412312
11/2005,11496.687408087802
12/2005,11845.044524389925
01/2006,12259.511574032806
02/2006,12459.379240889259
03/2006,12612.829848704632
04/2006,12830.622678944477
05/2006,12348.29251779805
06/2006,12482.34051892708
07/2006,12804.49133541508
08/2006,13091.252624680857
09/2006,13178.597636474367
10/2006,13771.372766286462
11/2006,13633.576927462787
12/2006,14145.136988054845
01/2007,14292.205110156601
02/2007,14021.712509852474
03/2007,14382.319413741134
04/2007,14662.90440374329
05/2007,15138.417186056782
06/2007,15166.274397005016
07/2007,14660.381983146182
08/2007,14565.533228705975
09/2007,14383.878764839988
10/2007,15049.291676429257
11/2007,13964.469550610947
12/2007,13612.173820299215
01/2008,12257.884528822995
02/2008,12044.408795381096
03/2008,11316.244771077369
04/2008,12205.59706030568
05/2008,12157.495834767506
06/2008,11228.092543357556
07/2008,10880.511296556455
08/2008,11156.736047833692
09/2008,9856.809058682498
10/2008,8737.74348459727
11/2008,8151.733471015505
12/2008,7332.693027458853
01/2009,7430.095767965451
02/2009,6936.586002258695
03/2009,6882.27927862726
04/2009,7834.272832038376
05/2009,8340.318585431762
06/2009,8292.202146028247
07/2009,8976.20993212704
08/2009,9376.911583106223
09/2009,9454.537439535401
10/2009,9483.906914191775
11/2009,9555.608612672439
12/2009,10254.8957861594
01/2010,10142.526893503558
02/2010,10139.496818308344
03/2010,10891.270538177043
04/2010,11022.410612241903
05/2010,10517.02903024329
06/2010,10431.792365305886
07/2010,11007.181543037614
08/2010,11022.438010173386
09/2010,11239.8496534431
10/2010,11475.734251583865
11/2010,11644.455604991559
12/2010,12114.689242399667
01/2011,12150.206820309515
02/2011,12531.468277785103
03/2011,11940.748809353965
04/2011,12231.743695895515
05/2011,12349.475157194842
06/2011,11892.411296718674
07/2011,12032.911080834589
08/2011,11046.473938685978
09/2011,10813.557231353458
10/2011,11632.494125449328
11/2011,11686.87234559102
12/2011,12050.99413519566
01/2012,12482.99093541404
02/2012,12889.700454534528
03/2012,12828.669031500753
04/2012,13077.264381242972
05/2012,12374.458785113067
06/2012,12888.216028474943
07/2012,13443.246596414867
08/2012,13601.019956911841
09/2012,13688.442793283824
10/2012,13696.028700043418
11/2012,13810.392212481947
12/2012,13869.545005023077
01/2013,14051.491433335917
02/2013,14281.329856667136
03/2013,14775.446585619666
04/2013,14844.080579667027
05/2013,15119.803665145411
06/2013,14360.55585284082
07/2013,15004.324804260184
08/2013,15026.951683003306
09/2013,15512.987633769011
10/2013,15971.929866074974
11/2013,16162.57626077607
12/2013,16417.665220353592
01/2014,16159.128169536505
02/2014,16929.698899858908
03/2014,16438.791942237065
04/2014,16910.84141700205
05/2014,17299.383546952795
06/2014,17357.67213583104
07/2014,17476.089487081863
08/2014,17846.84032553795
09/2014,17666.640873865403
10/2014,17443.376890376356
11/2014,17689.44133095542
12/2014,17771.670192028472
01/2015,18901.066685381207
02/2015,20244.74622926705
03/2015,20029.33807248451
04/2015,20482.5765715106
05/2015,21423.391367311986
06/2015,20125.192080394896
07/2015,20661.75862568923
08/2015,18916.13702193539
09/2015,17931.098043365746
10/2015,19721.812367709237
11/2015,20161.977385235725
12/2015,19026.350850695926
01/2016,17367.123087142027
02/2016,17512.166529638325
03/2016,17599.668215107406
04/2016,17986.516680561515
05/2016,18536.133734256204
06/2016,17443.482300033236
07/2016,18006.74467750572
08/2016,18174.294953671128
09/2016,18190.207614151834
10/2016,17593.23294467603
11/2016,18348.584257772854
12/2016,18972.883057747542
01/2017,18926.599712119816
02/2017,19644.449625973204
03/2017,19869.950998910743
04/2017,20081.779509974294
05/2017,20263.391740247058
06/2017,19595.822186361947
07/2017,19414.8865370452
08/2017,19140.443902859442
09/2017,19904.609851864305
10/2017,20383.652327600776
11/2017,19968.266245981074
12/2017,20799.29250267608
01/2018,20735.893884482484
02/2018,19773.646644119668
03/2018,19606.813209999706
04/2018,20840.335904064643
05/2018,21427.08388419394
06/2018,21235.07286082432
07/2018,21298.645229068195
08/2018,20661.752623010343
09/2018,20989.30481786516
10/2018,19893.634001495608
11/2018,19560.685972859934
12/2018,18650.015367251857
01/2019,19959.411024864956
02/2019,20779.16171458064
03/2019,21200.491632595607
04/2019,21821.952191376422
05/2019,20605.059390617607
06/2019,21068.597553648367
07/2019,21135.982294485766
08/2019,20559.144127374722
09/2019,21554.559050597985
10/2019,21857.501913757635
11/2019,22605.68922409698
12/2019,23389.417820544455
01/2020,22911.19878439151
02/2020,20363.84912579192
03/2020,16857.588770846778
04/2020,17998.19067411793
05/2020,17941.37416292569
06/2020,18071.95761072806
07/2020,17597.254821569917
08/2020,18188.88419491631
09/2020,17549.322374372856
10/2020,17042.737942380514
11/2020,19296.424009296246
12/2020,19979.769623839766
01/2021,20117.05076389297
02/2021,20915.046043015456
03/2021,22169.73540831552
04/2021,22609.027160117224
05/2021,23163.307561413483
06/2021,23227.188295296877
07/2021,23514.375538549284
08/2021,23993.56542640419
09/2021,23652.68152518902
10/2021,24585.428416941417
11/2021,23822.202183753536
12/2021,25283.695705744052
01/2022,25357.075853780818
02/2022,24391.084124363053
03/2022,25349.589913452524
04/2022,25226.21486937335
05/2022,25327.095802744083
06/2022,23546.863391252118
07/2022,24960.51418409767
08/2022,24049.281203519364
09/2022,21964.81965484269
10/2022,23460.025679539714
11/2022,25011.474325775183
12/2022,24038.880529015994