Date,JP Morgan EMBI Global Core
02/2008,10000
03/2008,9571.757580329118
04/2008,9834.993896845353
05/2008,9873.598595125974
06/2008,9503.670533990422
07/2008,9727.48004508574
08/2008,10385.57668951978
09/2008,9932.861584865004
10/2008,9365.14292715694
11/2008,9664.580115124552
12/2008,9582.252571397834
01/2009,10480.943495912297
02/2009,10472.129532219598
03/2009,10310.849706090752
04/2009,10915.228581053972
05/2009,10689.002975520232
06/2009,10789.756112381161
07/2009,11132.513675171627
08/2009,11243.754069894536
09/2009,11542.12319520536
10/2009,11435.483861716457
11/2009,11386.033029720375
12/2009,11921.103799213708
01/2010,12309.379090793855
02/2010,12856.153772011894
03/2010,13272.44523857622
04/2010,13532.343870291075
05/2010,14404.787090326181
06/2010,14750.179439303407
07/2010,14504.192786427062
08/2010,15278.086820950293
09/2010,14433.387516120472
10/2010,14480.925205492278
11/2010,14894.506747700081
12/2010,14423.747550916445
01/2011,13998.956410625851
02/2011,13884.756024033588
03/2011,13686.654489131372
04/2011,13268.924586236508
05/2011,13923.706135153321
06/2011,14005.78005208091
07/2011,14473.541740962159
08/2011,14371.30744886665
09/2011,14690.937748436287
10/2011,14826.236895122636
11/2011,15321.68821120705
12/2011,16090.036690968203
01/2012,16059.995361540938
02/2012,16155.988720361638
03/2012,16275.790910963295
04/2012,16741.45470115364
05/2012,17371.84898320153
06/2012,17781.99119984058
07/2012,18976.339702729816
08/2012,18691.30676099946
09/2012,18541.50814996612
10/2012,18608.416975535074
11/2012,18878.602255128168
12/2012,18717.859872424968
01/2013,17921.79879786759
02/2013,18427.46715500117
03/2013,18742.826113514417
04/2013,18959.36490575919
05/2013,18287.77969586706
06/2013,17241.68703649168
07/2013,17174.28951891369
08/2013,16729.055364761254
09/2013,16884.74045097404
10/2013,17200.3881917684
11/2013,16890.435004203926
12/2013,16753.159516504693
01/2014,16948.731049147264
02/2014,17156.005328704083
03/2014,17409.36655999206
04/2014,17563.10407198136
05/2014,18454.66013438815
06/2014,18451.303392504014
07/2014,18907.54750097809
08/2014,19335.956846483918
09/2014,19847.907206016607
10/2014,20317.028763037684
11/2014,20394.00582963193
12/2014,20476.069941560057
01/2015,22210.28798905957
02/2015,22536.980625942746
03/2015,23589.684183185884
04/2015,22997.27109507167
05/2015,23391.227829995725
06/2015,22526.873355849842
07/2015,23076.64321661715
08/2015,22337.900049433356
09/2015,22053.327383161606
10/2015,23091.431041388554
11/2015,24039.245929045257
12/2015,23019.028299263013
01/2016,22948.34112967633
02/2016,23465.812106471534
03/2016,23188.21533416746
04/2016,23571.21918218554
05/2016,24031.465695219333
06/2016,25037.420129318325
07/2016,25390.727428821934
08/2016,25832.997871023283
09/2016,25862.86312620922
10/2016,25999.304274920043
11/2016,25611.30987555731
12/2016,26191.587051062164
01/2017,26057.73525223142
02/2017,26992.386113722645
03/2017,26848.444448422575
04/2017,26689.429174526653
05/2017,26223.70827201208
06/2017,25723.291257441357
07/2017,25253.882737354943
08/2017,25508.14451476015
09/2017,25531.109023792455
10/2017,25985.236454917056
11/2017,25537.81717867206
12/2017,25427.675698787625
01/2018,24454.563345962426
02/2018,24389.35694010224
03/2018,24252.820721022414
04/2018,24322.3761817618
05/2018,24855.452890416767
06/2018,24596.850396562313
07/2018,25111.316776919106
08/2018,24781.961370402976
09/2018,25390.49070989389
10/2018,25337.2821048706
11/2018,25107.737239568156
12/2018,25256.995392834113
01/2019,26387.067126603706
02/2019,26819.01197042433
03/2019,27651.527038254895
04/2019,27739.00778356029
05/2019,28017.117600218353
06/2019,28453.548797395397
07/2019,29407.991132816307
08/2019,29967.408310790564
09/2019,30199.697491325343
10/2019,29586.47903555459
11/2019,29917.932403936386
12/2019,29885.013154192642
01/2020,30867.294696098346
02/2020,30748.59634711434
03/2020,26448.080346534847
04/2020,27301.944934874256
05/2020,28383.0516320218
06/2020,29207.82426688981
07/2020,28709.032061718968
08/2020,28595.771793996013
09/2020,28582.38042613918
10/2020,28606.108465470534
11/2020,29076.949341072574
12/2020,28938.67769324798
01/2021,28862.26047364296
02/2021,28048.566528793614
03/2021,28686.833493767444
04/2021,28506.71562450459
05/2021,28557.172990153653
06/2021,29572.557143213406
07/2021,29686.845699837417
08/2021,30147.07923368436
09/2021,30103.872228267755
10/2021,29947.577007144457
11/2021,30131.06399616297
12/2021,30709.81907002547
01/2022,30254.672518629715
02/2022,28191.684215103225
03/2022,28220.946741130494
04/2022,27905.813426491168
05/2022,27535.616420259084
06/2022,26513.857802060065
07/2022,27889.966546226027
08/2022,28072.653404963618
09/2022,26867.493073281596
10/2022,26481.303168977272
11/2022,27304.70309070482
12/2022,26618.77923082328
01/2023,27071.92367590225
02/2023,26943.952368784787
03/2023,26606.813058342123
04/2023,26472.483065914024
05/2023,26997.83003841486
06/2023,27123.438504471582
07/2023,27252.724208552907
08/2023,27186.547201468104
09/2023,27072.89860717818
10/2023,26615.14392539226
11/2023,27414.16859194673
12/2023,28470.884070625576
01/2024,28672.150054893977
02/2024,28985.070710309832
03/2024,29630.55658418852
04/2024,29220.69230451595
05/2024,29413.641037480975
06/2024,30014.65747207979
07/2024,30245.27777623812
08/2024,30285.969528361016
09/2024,30553.48431003503