Date,MSCI ACWI IMI Robotics & AI ESG Filtered
09/2018,10000
10/2018,8957.050957574786
11/2018,9281.088548637706
12/2018,8359.522951236639
01/2019,9351.63514753275
02/2019,10148.106435948474
03/2019,10275.754169654025
04/2019,11027.456814490275
05/2019,9940.883697475598
06/2019,10547.897293263408
07/2019,10931.36878897502
08/2019,10703.471567265186
09/2019,10897.970436224152
10/2019,11045.876601780798
11/2019,11685.860378967616
12/2019,11949.64726315436
01/2020,12253.04228093826
02/2020,11604.079605157962
03/2020,9843.483800030139
04/2020,11589.740061178958
05/2020,12774.373617475407
06/2020,13479.449793912641
07/2020,13730.478296896554
08/2020,14530.62466419291
09/2020,14269.078614206397
10/2020,14328.016602555601
11/2020,16210.196028403167
12/2020,17029.284260629283
01/2021,17731.333944004393
02/2021,18249.41462941926
03/2021,18324.286170869957
04/2021,18471.62675835847
05/2021,18217.292970254875
06/2021,19868.569519050354
07/2021,20022.712481902967
08/2021,20788.970212032604
09/2021,20082.824336287133
10/2021,21343.727512980284
11/2021,21367.387235693936
12/2021,21055.763655932504
01/2022,18768.820199257843
02/2022,18381.448266784217
03/2022,18545.74750563688
04/2022,16564.347525363726
05/2022,15754.087603168522
06/2022,14807.291047810659
07/2022,16595.88028558284
08/2022,15982.033830709566
09/2022,14928.140499538467