Date,MSCI Europe High Dividend Yield ESG Reduced Carbon Target Select
06/2017,10000
07/2017,9968.893755226183
08/2017,9875.852801856563
09/2017,10226.901269830621
10/2017,10421.66657021637
11/2017,10191.713395914217
12/2017,10206.716127034422
01/2018,10175.344490359701
02/2018,9919.101442818634
03/2018,9724.699827630418
04/2018,10336.11198244023
05/2018,10127.95893027569
06/2018,10068.940972868553
07/2018,10364.151885914576
08/2018,10213.23112960172
09/2018,10307.87149920745
10/2018,10007.288755111713
11/2018,10032.133204945905
12/2018,9601.914810756121
01/2019,10240.736460886787
02/2019,10600.212759936114
03/2019,10710.345586534737
04/2019,11006.092095658545
05/2019,10394.905298709029
06/2019,10838.174073414692
07/2019,10743.053295321679
08/2019,10585.300745337594
09/2019,11176.076632075208
10/2019,11437.827687837365
11/2019,11657.199588757232
12/2019,12014.13736103222
01/2020,11778.531093507601
02/2020,10660.225936971636
03/2020,8862.533793952105
04/2020,9378.229779502333
05/2020,9520.49488954721
06/2020,9805.577497486254
07/2020,9579.015339529007
08/2020,9730.191146468851
09/2020,9575.974288275647
10/2020,9066.035013464749
11/2020,10518.903213908206
12/2020,10779.650858933926
01/2021,10711.226130650386
02/2021,10810.323691702912
03/2021,11554.09872603287
04/2021,11596.98439851936
05/2021,11789.638645582263
06/2021,11895.10622658956
07/2021,12129.669766059089
08/2021,12295.998303785345
09/2021,11811.876172889883
10/2021,12187.829397731171
11/2021,12088.280711402651
12/2021,12853.192592895663
01/2022,13255.44951347071
02/2022,13053.691361751647
03/2022,13284.327674465381
04/2022,13530.101462026782
05/2022,13492.143048200454
06/2022,12580.783984057483
07/2022,13535.48015312949
08/2022,12745.373037599931
09/2022,11909.068994153638
10/2022,12572.357995981523
11/2022,13417.26485304886
12/2022,12935.935889999319
01/2023,13778.0444597782
02/2023,14020.813236961672
03/2023,14106.420350218197
04/2023,14387.900918391131
05/2023,14005.546649773327
06/2023,14092.60594409872
07/2023,14483.964595409843
08/2023,14212.38308370727
09/2023,13942.609554329594
10/2023,13626.491247534834
11/2023,14482.114326489624
12/2023,14944.844252428491
01/2024,15381.407683693484
02/2024,15797.742456900745
03/2024,16324.190090880755
04/2024,15968.415251171524
05/2024,16626.414025863673
06/2024,16494.832168496338
07/2024,16911.267180388393
08/2024,17198.897632487176
09/2024,17210.973066367103
10/2024,16498.974923782764