Date,Markit iBoxx EUR Liquid Investment Grade Ultrashort
10/2013,10000
11/2013,10004.349005410042
12/2013,10007.52556766256
01/2014,10017.072547681793
02/2014,10024.088413949505
03/2014,10029.724917685822
04/2014,10034.015845725713
05/2014,10041.243729380845
06/2014,10050.294202863852
07/2014,10054.2774507913
08/2014,10062.603506543675
09/2014,10071.08140313127
10/2014,10073.195679303559
11/2014,10074.92640492632
12/2014,10075.807261700478
01/2015,10081.431270305524
02/2015,10086.842961639995
03/2015,10085.790671664785
04/2015,10090.065306053495
05/2015,10091.576817093219
06/2015,10088.942443576861
07/2015,10090.206650978445
08/2015,10093.667002652415
09/2015,10086.18391843618
10/2015,10088.330981832929
11/2015,10094.126323677978
12/2015,10093.11011964188
01/2016,10096.158331905972
02/2016,10098.038799181899
03/2016,10101.733059713282
04/2016,10105.523182891784
05/2016,10107.164643296739
06/2016,10104.329048186373
07/2016,10108.418654671208
08/2016,10113.268964747886
09/2016,10104.291562792558
10/2016,10112.467477047569
11/2016,10111.583021675604
12/2016,10111.313826567477
01/2017,10115.989504689498
02/2017,10118.313898989258
03/2017,10114.651126188679
04/2017,10115.628645298359
05/2017,10115.605954139968
06/2017,10115.067463962667
07/2017,10117.260609403547
08/2017,10115.654935054556
09/2017,10116.282590488614
10/2017,10117.95343944232
11/2017,10116.043283734492
12/2017,10112.245663477226
01/2018,10113.635521918883
02/2018,10110.97545841263
03/2018,10103.505968899217
04/2018,10103.109023568966
05/2018,10093.946593709761
06/2018,10091.534333646894
07/2018,10094.782268089237
08/2018,10091.803328832919
09/2018,10091.884297283563
10/2018,10087.223113513819
11/2018,10070.608087558681
12/2018,10066.681417585636
01/2019,10075.376029730014
02/2019,10082.811932330567
03/2019,10086.722408613483
04/2019,10091.681676234854
05/2019,10087.064675249288
06/2019,10092.45967308838
07/2019,10097.207223205476
08/2019,10095.521280133195
09/2019,10094.186400269135
10/2019,10092.45337554222
11/2019,10090.815813618223
12/2019,10091.171075190552
01/2020,10091.619400500595
02/2020,10085.639030751667
03/2020,9971.387049036342
04/2020,10016.63431843782
05/2020,10039.678939101377
06/2020,10066.523279204257
07/2020,10084.291555795284
08/2020,10093.761465844833
09/2020,10098.861678546955
10/2020,10102.22986613266
11/2020,10107.49941285378
12/2020,10105.159824474395
01/2021,10104.601342087055
02/2021,10103.345531413685
03/2021,10099.49893024183
04/2021,10098.496420869607
05/2021,10097.308683671408
06/2021,10094.852040902262
07/2021,10092.495159261192
08/2021,10090.074502470112
09/2021,10088.03239817605
10/2021,10083.545146633613
11/2021,10080.646775983738
12/2021,10076.891539211745
01/2022,10074.926105043169
02/2022,10063.656296324136
03/2022,10060.451045250218
04/2022,10052.664379324597
05/2022,10047.018879093761
06/2022,10021.441045496622
07/2022,10030.426544297014
08/2022,10026.341436059438
09/2022,9995.520545419477
10/2022,10003.718551066577
11/2022,10034.665892435012
12/2022,10048.974417118368
01/2023,10069.332484597377
02/2023,10082.072320520308
03/2023,10105.885541698677
04/2023,10132.827343825478
05/2023,10154.610955841055
06/2023,10179.498158542525
07/2023,10214.48862450746
08/2023,10248.023357698672
09/2023,10279.372942333019
10/2023,10315.362718916573
11/2023,10352.872803112266
12/2023,10389.99793730373
01/2024,10430.081618697275
02/2024,10462.81546395447
03/2024,10496.520930619383
04/2024,10528.415103055093
05/2024,10564.73405137688
06/2024,10596.161105825115
07/2024,10637.664434053271
08/2024,10673.709888941774
09/2024,10714.63094405265