Date,Nasdaq CTA Artificial Intelligence
10/2018,10000
11/2018,10077.89886029974
12/2018,9126.790577250771
01/2019,10418.15535811129
02/2019,11290.754708241973
03/2019,11468.568065845697
04/2019,12393.091998392025
05/2019,11315.665078420143
06/2019,11874.648299994902
07/2019,12721.744940991157
08/2019,12541.134286277233
09/2019,12460.467866832814
10/2019,12460.870910266907
11/2019,13383.374037035017
12/2019,13801.674501848172
01/2020,14361.748998677482
02/2020,13528.136018061938
03/2020,11274.908561730646
04/2020,13481.359928162405
05/2020,14517.36900399122
06/2020,15618.88203052454
07/2020,15621.74368026267
08/2020,16838.88397751565
09/2020,16843.008208328552
10/2020,17072.154598432193
11/2020,20756.980480478593
12/2020,22223.965398334447
01/2021,24422.580202312478
02/2021,24394.657193820596
03/2021,23250.671345978622
04/2021,23341.357006128696
05/2021,22266.388941355537
06/2021,24132.05888788869
07/2021,24216.270526135388
08/2021,25297.08284822719
09/2021,24442.141997151743
10/2021,25852.632433678416
11/2021,26756.84914297968
12/2021,27865.086362347916
01/2022,25355.491382445114
02/2022,25044.55172894115
03/2022,24650.735848008993
04/2022,22480.240670040377
05/2022,22080.0889330506
06/2022,19629.626638753714
07/2022,21680.37352872905
08/2022,20703.33605591921
09/2022,18327.101289200276
10/2022,19018.037561383535
11/2022,19292.69656144179
12/2022,17359.800321616145
01/2023,20185.90662877231
02/2023,20869.30147832995
03/2023,21637.32966859558
04/2023,19320.77371194232
05/2023,22981.643700318727
06/2023,23480.04328199776
07/2023,25456.323975546755
08/2023,23721.550362693426
09/2023,23093.847501690623
10/2023,21508.0064449292
11/2023,24277.68131137536
12/2023,26116.49368403937
01/2024,25987.115045985538
02/2024,27909.146717872183
03/2024,27909.25999349956
04/2024,26173.79691852608
05/2024,26555.14180327834
06/2024,27657.38172178888
07/2024,26421.96018479491
08/2024,26315.645139955443
09/2024,26081.40548950616