Date,Solactive Innovative Technologies
09/2013,10000
10/2013,9849.401745004654
11/2013,10167.552122908126
12/2013,10422.408458904107
01/2014,10584.065142354288
02/2014,10962.517529274963
03/2014,10513.98710509599
04/2014,9999.6645180178
05/2014,10399.676668392114
06/2014,10865.361515295397
07/2014,10862.81933693232
08/2014,11460.19488552882
09/2014,11744.6871176783
10/2014,12118.002229975891
11/2014,12519.861428071423
12/2014,12870.375570315839
01/2015,13840.675193143968
02/2015,15216.749072865536
03/2015,15961.573601208302
04/2015,15782.153567990297
05/2015,16963.390486474767
06/2015,16026.060266412069
07/2015,16081.7035184779
08/2015,14559.156396375623
09/2015,14116.366967133497
10/2015,15729.281530031283
11/2015,16714.864317689728
12/2015,15962.82744164266
01/2016,13865.581907341533
02/2016,13970.101508501197
03/2016,14477.53737572258
04/2016,14593.693560551355
05/2016,15574.843225626337
06/2016,15529.794718797166
07/2016,16751.002848479773
08/2016,17095.4598661336
09/2016,17792.849025327054
10/2016,17449.385165922777
11/2016,18612.513210165092
12/2016,18389.499500074395
01/2017,19442.626829120574
02/2017,20529.874769957463
03/2017,20621.394458877592
04/2017,20676.268446805243
05/2017,20642.073052040487
06/2017,20629.491832416876
07/2017,20793.65496496784
08/2017,21662.696258549506
09/2017,22580.818686000843
10/2017,23675.59585304885
11/2017,23036.192455717697
12/2017,22866.64424005153
01/2018,24105.552648107256
02/2018,24644.12809409486
03/2018,23838.94710502529
04/2018,24037.82721489387
05/2018,25584.533230469708
06/2018,25238.51219982253
07/2018,25095.328877560674
08/2018,25764.146228463487
09/2018,25516.879159607382
10/2018,23179.42033984308
11/2018,23630.8807047888
12/2018,21748.626396318814
01/2019,24213.9384995289
02/2019,25710.412055161927
03/2019,26566.53682475417
04/2019,27365.8560915215
05/2019,24610.901930456508
06/2019,26276.38398785097
07/2019,27405.753030392352
08/2019,26481.73654095692
09/2019,27065.413055618934
10/2019,27244.524417830788
11/2019,29034.68932725106
12/2019,29556.503749297157
01/2020,30373.93412535638
02/2020,29051.494834926452
03/2020,25950.503926658228
04/2020,29913.898402546314
05/2020,31330.614699046582
06/2020,33303.85775032822
07/2020,34645.66027246273
08/2020,36381.043104746735
09/2020,36753.97090179925
10/2020,36756.27338193902
11/2020,41472.31433512477
12/2020,43609.340817045995
01/2021,45957.578507058715
02/2021,48933.65423399226
03/2021,49902.55849061442
04/2021,49866.86547091978
05/2021,47745.25517385265
06/2021,51363.51326638967
07/2021,50434.29698377653
08/2021,52606.71628297899
09/2021,49675.32982963906
10/2021,54506.74709651252
11/2021,54873.74775769478
12/2021,51552.991290644764
01/2022,45029.89525769186
02/2022,44239.361008867425
03/2022,43814.463848104286
04/2022,39255.86658771475
05/2022,37677.91249639387
06/2022,35418.60216246826
07/2022,38355.15613245934
08/2022,37660.46561257154
09/2022,33875.342101409486
10/2022,34161.74766978946
11/2022,33313.605914931024
12/2022,30124.573062516374
01/2023,34405.41822442369
02/2023,34312.93585693364
03/2023,35973.46052941131
04/2023,34805.43148237536
05/2023,38055.95074384428
06/2023,39663.50098538985
07/2023,42663.90391216059
08/2023,38714.79045024389
09/2023,37084.68086916617
10/2023,34968.00772505875
11/2023,38564.76580727162
12/2023,42815.73364924292
01/2024,40348.675766557215
02/2024,43972.686352684854
03/2024,44820.12160383274
04/2024,41737.80146812984
05/2024,42745.87294616261
06/2024,46366.522017533054
07/2024,46135.02658864364
08/2024,44863.50090142791
09/2024,46248.539805608685