Date,iBoxx â‚¬ Sovereigns
12/1998,10000
01/1999,10137.56
02/1999,9996.67
03/1999,10057.73
04/1999,10164.64
05/1999,10081.81
06/1999,9909.9
07/1999,9813.96
08/1999,9795.96
09/1999,9766.57
10/1999,9752.65
11/1999,9806.97
12/1999,9755.83
01/2000,9722.65
02/2000,9783.39
03/2000,9935.41
04/2000,9934.02
05/2000,9962.98
06/2000,9995.71
07/2000,10038.19
08/2000,10038.65
09/2000,10109.76
10/2000,10156.699999999999
11/2000,10300.14
12/2000,10451.55
01/2001,10515.55
02/2001,10566.19
03/2001,10658.55
04/2001,10522.72
05/2001,10548.7
06/2001,10631.79
07/2001,10792.99
08/2001,10900.8
09/2001,10980.06
10/2001,11255.45
11/2001,11196.03
12/2001,11085.5
01/2002,11116.05
02/2002,11128.63
03/2002,11014.77
04/2002,11135.19
05/2002,11153.19
06/2002,11344.74
07/2002,11511.48
08/2002,11665.96
09/2002,11713.65
10/2002,11826.89
11/2002,11890.98
12/2002,12122.64
01/2003,12267.47
02/2003,12401.99
03/2003,12361.34
04/2003,12373.73
05/2003,12653.55
06/2003,12644.64
07/2003,12445.87
08/2003,12473.98
09/2003,12665.34
10/2003,12498.96
11/2003,12461.5
12/2003,12619.07
01/2004,12695.89
02/2004,12869.54
03/2004,12990.3
04/2004,12856.74
05/2004,12823.75
06/2004,12866.29
07/2004,12978.380000000003
08/2004,13157.54
09/2004,13212.62
10/2004,13337.44
11/2004,13489.15
12/2004,13581.07
01/2005,13757.01
02/2005,13676.2
03/2005,13752.16
04/2005,13957.59
05/2005,14113.58
06/2005,14271.360000000002
07/2005,14203.08
08/2005,14347.63
09/2005,14339.18
10/2005,14183.430000000002
11/2005,14170.27
12/2005,14309.06
01/2006,14210.07
02/2006,14231.18
03/2006,14028.85
04/2006,13912.880000000003
05/2006,13955.520000000002
06/2006,13916.97
07/2006,14070.4
08/2006,14234.979999999998
09/2006,14323.55
10/2006,14362.39
11/2006,14439.18
12/2006,14248.82
01/2007,14204.97
02/2007,14351.77
03/2007,14284.44
04/2007,14266.62
05/2007,14109.34
06/2007,14024.47
07/2007,14224.15
08/2007,14360.26
09/2007,14362.25
10/2007,14469.47
11/2007,14569.88
12/2007,14516.5
01/2008,14861.99
02/2008,14939.06
03/2008,14848.330000000002
04/2008,14756.83
05/2008,14569.19
06/2008,14410.81
07/2008,14687.76
08/2008,14884.26
09/2008,14963.67
10/2008,15099.93
11/2008,15664.18
12/2008,15842.99
01/2009,15674.33
02/2009,15798.35
03/2009,15983.79
04/2009,16076.99
05/2009,15888.69
06/2009,16088.02
07/2009,16365.83
08/2009,16447.84
09/2009,16552.57
10/2009,16569.93
11/2009,16674.25
12/2009,16531.18
01/2010,16607.31
02/2010,16809.2
03/2010,16913.63
04/2010,16793.04
05/2010,17057.36
06/2010,16930.56
07/2010,17085.87
08/2010,17540.24
09/2010,17330.11
10/2010,17242.4
11/2010,16797.69
12/2010,16722.46
01/2011,16640.73
02/2011,16638.77
03/2011,16533.05
04/2011,16623.94
05/2011,16790.73
06/2011,16725.77
07/2011,16723.57
08/2011,17212.96
09/2011,17361.72
10/2011,17036.170000000002
11/2011,16606.16
12/2011,17288.12
01/2012,17608.68
02/2012,17919.55
03/2012,17937.54
04/2012,17900.83
05/2012,18121.51
06/2012,17965.07
07/2012,18267.62
08/2012,18403.35
09/2012,18637.07
10/2012,18776.26
11/2012,19043.93
12/2012,19182.51
01/2013,19090.78
02/2013,19131.039999999997
03/2013,19257.85
04/2013,19743.78
05/2013,19495.670000000002
06/2013,19209.32
07/2013,19348.37
08/2013,19252.28
09/2013,19392.02
10/2013,19663.42
11/2013,19731.19
12/2013,19610.26
01/2014,20040.960000000003
02/2014,20174.03
03/2014,20358.76
04/2014,20552.3
05/2014,20753.31
06/2014,20975.6
07/2014,21166.77
08/2014,21562.92
09/2014,21580.52
10/2014,21635.94
11/2014,21931.08
12/2014,22168.86
01/2015,22670.33
02/2015,22844.87
03/2015,23118.88
04/2015,22792.72
05/2015,22449.22
06/2015,21868.77
07/2015,22374.88
08/2015,22137.6
09/2015,22433.69
10/2015,22663.18
11/2015,22766.21
12/2015,22531.52
01/2016,22976.29
02/2016,23197.13
03/2016,23306.76
04/2016,23043.71
05/2016,23279.63
06/2016,23810
07/2016,24004.04
08/2016,23923.56
09/2016,23969.86
10/2016,23460.99
11/2016,23099.56
12/2016,23270.18
01/2017,22771.38
02/2017,23037.76
03/2017,22920.68
04/2017,23023.2
05/2017,23151.26
06/2017,23022.86
07/2017,23077.15
08/2017,23272.2
09/2017,23160.6
10/2017,23392.99
11/2017,23490.44
12/2017,23285.85
01/2018,23201.29
02/2018,23248.41
03/2018,23611.46
04/2018,23530
05/2018,23229
06/2018,23414
07/2018,23335
08/2018,23202
09/2018,23174
10/2018,23161
11/2018,23298
12/2018,23511
01/2019,23769
02/2019,23679
03/2019,24110
04/2019,24100
05/2019,24364
06/2019,24925
07/2019,25336
08/2019,25967
09/2019,25865
10/2019,25576
11/2019,25339
12/2019,25093
01/2020,25724
02/2020,25839
03/2020,25186
04/2020,25287
05/2020,25353
06/2020,25607
07/2020,25872.000000000004
08/2020,25677
09/2020,26037
10/2020,26288
11/2020,26315
12/2020,26352
01/2021,26193
02/2021,25798
03/2021,25739
04/2021,25463
05/2021,25306
06/2021,25567
07/2021,26036
08/2021,25893
09/2021,25577
10/2021,25415
11/2021,25863
12/2021,25444
01/2022,25165
02/2022,24669
03/2022,24099
04/2022,23202
05/2022,22748
06/2022,22321
07/2022,23229
08/2022,22049
09/2022,21189
10/2022,21240
11/2022,21747
12/2022,20753
01/2023,21249